Date,Open,High,Low,Close,Volume
2022-08-30,2829.7475402706787,2893.876525731647,2818.1775032098362,2880.10888671875,3431525
2022-09-01,2861.13894561839,2861.13894561839,2799.2522411520363,2808.84912109375,3546935
2022-09-02,2836.9226654285976,2836.9226654285976,2798.6247016941093,2807.683349609375,2052900
2022-09-05,2801.6289190166253,2823.4238453556204,2791.404246893078,2810.373779296875,2147912
2022-09-06,2812.2575465142127,2817.056096189983,2786.112742544714,2804.6787109375,1936453
2022-09-07,2782.211587036487,2835.9363460187997,2782.211587036487,2824.904541015625,1291534
2022-09-08,2843.201212734981,2855.309482883852,2834.321902214568,2842.88720703125,1346113
2022-09-09,2865.623337663798,2900.154323109825,2841.855256772377,2885.938232421875,1561185
2022-09-12,2905.895487171771,2932.7131986300374,2892.5316301746207,2908.631103515625,1785928
2022-09-13,2927.017323620031,2927.017323620031,2892.5312200007593,2896.432861328125,1972678
2022-09-14,2811.8090673004745,2817.549195989468,2792.794644674827,2798.714111328125,5090269
2022-09-15,2807.325208656137,2814.276253501851,2780.417938285631,2784.319580078125,2138023
2022-09-16,2758.8915488003336,2775.349913346331,2690.7264780237324,2698.529541015625,5322221
2022-09-19,2723.015072507459,2728.3965252199246,2679.7841128450286,2716.557373046875,2072220
2022-09-20,2735.572042522209,2762.4344192765325,2717.633865194194,2726.8720703125,1544295
2022-09-21,2715.839934791707,2727.85842551412,2689.0671186515897,2691.802734375,2253818
2022-09-22,2681.757642079149,2717.5891092550232,2672.1607605323097,2697.36376953125,2017983
2022-09-23,2694.3138117170306,2710.9066231407205,2671.8910935769086,2674.626708984375,2652374
2022-09-26,2654.715589532401,2713.9115701152955,2624.4449176434205,2685.70361328125,2925489
2022-09-27,2699.1575251901013,2713.1493914587795,2669.200855861596,2706.377685546875,2227447
2022-09-28,2672.7882836301883,2735.527011795521,2672.7882836301883,2722.701171875,2739767
2022-09-29,2739.1596194850167,2740.818988441174,2681.757453261362,2688.304931640625,2493902
2022-09-30,2682.519766307639,2708.3954537489426,2645.970732786134,2694.807373046875,2817353
